productid,category,brand,season,size,color,originalprice,markdownpercentage,currentprice,purchasedate,stockquantity,customerrating,isreturned,returnreason,customer_city,shipping_km,base_env_impact_kg,total_env_impact_kg,customer_height_cm,customer_weight_kg,garment_length_cm,garment_width_cm,seasonal_weather_impact,campaign_type
FB000596,Shoes,H&M,Fall,,White,65.8,0,65.8,8/6/2025,46,3.2,FALSE,,Chicago,800,5.5,7.9,172,78,29,8,coldsnap,sustainability promo
FB000597,Shoes,Uniqlo,Winter,XL,Blue,88.42,0,88.42,8/6/2025,44,3.4,TRUE,Damaged,NY,300,5.5,12.8,176,81,31,7,cold,none
FB000598,Dresses,Mango,Fall,M,Red,75.54,0,75.54,8/6/2025,6,4.6,FALSE,,Seattle,1150,4.5,7.95,164,66,106,89,coldsnap,discount email
FB000599,Shoes,H&M,Spring,L,White,185.13,0,185.13,5/9/2025,49,4.9,FALSE,,NY,300,5.5,6.4,169,67,28,11,rain,sustainability promo
FB000600,Outerwear,Mango,Fall,L,Black,132.58,0,132.58,8/6/2025,45,1.6,FALSE,,NY,300,7,7.9,176,74,76,116,coldsnap,new collection
FB000601,Bottoms,Zara,Fall,M,White,93.38,0,93.38,8/6/2025,7,3.5,FALSE,,Chicago,800,3.8,6.199999999999999,163,67,107,35,coldsnap,none
FB000602,Accessories,Ann Taylor,Fall,,Black,47.28,0,47.28,8/6/2025,38,4.2,FALSE,,Chicago,800,1.2,3.5999999999999996,163,71,36,14,coldsnap,sustainability promo
FB000603,Bottoms,Banana Republic,Spring,L,Green,59.88,0,59.88,10/12/2024,33,2.9,FALSE,,LA,1200,3.8,7.4,169,71,101,33,rain,sustainability promo
FB000604,Dresses,H&M,Winter,XXL,Black,140.07,0,140.07,8/6/2025,15,2.7,FALSE,,LA,1200,4.5,8.1,180,89,101,93,cold,new collection
FB000605,Accessories,Uniqlo,Winter,,Black,66.6,0,66.6,8/6/2025,47,4,FALSE,,Seattle,1150,1.2,4.65,171,70,31,7,cold,discount email
FB000606,Accessories,Gap,Summer,,Purple,39.82,35.4,25.72,8/6/2025,9,4.6,FALSE,,LA,1200,1.2,4.8,173,78,32,13,heatwave,discount email
FB000607,Accessories,Zara,Fall,,Red,70.74,0,70.74,8/6/2025,49,1.8,FALSE,,NY,300,1.2,2.1,166,65,33,7,coldsnap,discount email
FB000608,Dresses,Zara,Spring,M,Red,95.33,0,95.33,6/7/2025,36,,TRUE,Quality Issue,LA,1200,4.5,16.2,171,64,102,97,rain,sustainability promo
FB000609,Accessories,Forever21,Spring,,Red,32.62,29.1,23.13,7/27/2025,9,1.4,FALSE,,LA,1200,1.2,4.8,166,72,39,10,rain,sustainability promo
FB000610,Bottoms,Mango,Summer,XL,Purple,41.07,0,41.07,8/6/2025,10,4.8,FALSE,,Seattle,1150,3.8,7.25,175,84,110,45,heatwave,sustainability promo
FB000611,Bottoms,Zara,Winter,XL,Gray,43.1,0,43.1,8/6/2025,34,4.9,FALSE,,Seattle,1150,3.8,7.25,169,86,107,45,cold,none
FB000612,Outerwear,Ann Taylor,Winter,XXL,Navy,102.03,27.9,73.56,8/6/2025,21,2.2,TRUE,Size Issue,Seattle,1150,7,20.9,175,94,77,122,cold,new collection
FB000613,Accessories,Mango,Winter,,Red,54.11,0,54.11,8/6/2025,15,2.6,FALSE,,LA,1200,1.2,4.8,167,69,37,12,cold,sustainability promo
FB000614,Accessories,Mango,Winter,,Purple,43.5,0,43.5,8/6/2025,35,2.8,FALSE,,Dallas,1100,1.2,4.5,166,66,30,10,cold,new collection
FB000615,Accessories,Banana Republic,Winter,,Pink,66,0,66,8/6/2025,19,2.6,FALSE,,Dallas,1100,1.2,4.5,164,70,30,14,cold,new collection
FB000616,Bottoms,Banana Republic,Summer,M,White,38.85,0,38.85,8/6/2025,10,3.8,FALSE,,Chicago,800,3.8,6.199999999999999,168,59,108,41,heatwave,discount email
FB000617,Accessories,Zara,Summer,,Beige,61.29,0,61.29,8/6/2025,15,4,FALSE,,LA,1200,1.2,4.8,172,76,33,3,heatwave,none
FB000618,Bottoms,H&M,Spring,XS,Beige,90.66,0,90.66,3/20/2025,49,2.4,TRUE,Color Mismatch,NY,300,3.8,9.4,155,56,108,35,rain,sustainability promo
FB000619,Dresses,Mango,Fall,XL,Green,119.96,0,119.96,8/6/2025,5,5,FALSE,,Chicago,800,4.5,6.9,175,86,106,90,coldsnap,discount email
FB000620,Shoes,Forever21,Fall,XXL,Red,130.21,0,130.21,8/6/2025,50,4.7,FALSE,,Seattle,1150,5.5,8.95,180,92,29,17,coldsnap,discount email
FB000621,Tops,Banana Republic,Winter,XS,Red,49.68,0,49.68,8/6/2025,15,2.8,FALSE,,NY,300,2.5,3.4,150,61,68,99,cold,sustainability promo
FB000622,Accessories,Zara,Spring,,Purple,46.58,0,46.58,9/25/2024,42,1.7,FALSE,,LA,1200,1.2,4.8,172,71,33,11,rain,new collection
FB000623,Accessories,Mango,Summer,,Brown,69.88,0,69.88,8/6/2025,8,2.8,FALSE,,Atlanta,900,1.2,3.9000000000000004,168,67,36,3,heatwave,discount email
FB000624,Accessories,Forever21,Fall,,Green,32.15,0,32.15,8/6/2025,17,1.9,TRUE,Quality Issue,Dallas,1100,1.2,9,172,67,36,12,coldsnap,new collection
FB000625,Bottoms,Forever21,Summer,S,Black,36.34,0,36.34,8/6/2025,6,4.5,TRUE,Damaged,Chicago,800,3.8,12.399999999999999,158,60,100,47,heatwave,none
FB000626,Bottoms,Mango,Fall,M,Beige,93.01,0,93.01,8/6/2025,34,1.4,FALSE,,NY,300,3.8,4.7,167,63,109,35,coldsnap,new collection
FB000627,Tops,Gap,Winter,S,Brown,75,0,75,8/6/2025,19,1.6,FALSE,,Atlanta,900,2.5,5.2,156,62,61,95,cold,none
FB000628,Outerwear,Zara,Fall,M,Blue,81.63,12.4,71.51,8/6/2025,3,,FALSE,,NY,300,7,7.9,171,70,67,121,coldsnap,new collection
FB000629,Bottoms,Uniqlo,Spring,XL,Gray,109.81,0,109.81,7/24/2025,17,1.9,FALSE,,Seattle,1150,3.8,7.25,173,76,105,34,rain,discount email
FB000630,Bottoms,Ann Taylor,Fall,,Black,47.7,0,47.7,8/6/2025,14,2.3,FALSE,,LA,1200,3.8,7.4,164,69,108,38,coldsnap,discount email
FB000631,Tops,Banana Republic,Winter,S,Red,96.08,0,96.08,8/6/2025,7,2.5,FALSE,,Atlanta,900,2.5,5.2,158,60,68,96,cold,none
FB000632,Tops,H&M,Winter,XS,Brown,28,2.6,27.27,8/6/2025,2,,FALSE,,Dallas,1100,2.5,5.800000000000001,155,55,69,103,cold,sustainability promo
FB000633,Bottoms,Zara,Winter,S,Brown,52.43,6.4,49.07,8/6/2025,42,2.6,FALSE,,LA,1200,3.8,7.4,157,62,105,35,cold,none
FB000634,Accessories,Gap,Summer,,Pink,67.95,18.3,55.52,8/6/2025,37,,FALSE,,LA,1200,1.2,4.8,161,65,31,16,heatwave,none
FB000635,Dresses,Ann Taylor,Fall,,Red,131.92,0,131.92,8/6/2025,10,2.5,FALSE,,LA,1200,4.5,8.1,167,69,101,90,coldsnap,new collection
FB000636,Outerwear,Ann Taylor,Spring,XS,White,205.77,0,205.77,1/31/2025,38,1,FALSE,,Dallas,1100,7,10.3,161,59,75,113,rain,new collection
FB000637,Tops,Uniqlo,Winter,XL,White,97.88,11.3,86.82,8/6/2025,27,1.3,FALSE,,NY,300,2.5,3.4,177,81,63,91,cold,none
FB000638,Shoes,Zara,Summer,L,Gray,109.55,0,109.55,8/6/2025,32,1.4,FALSE,,Atlanta,900,5.5,8.2,169,80,24,11,heatwave,discount email
FB000639,Bottoms,Zara,Fall,L,Gray,52.94,10.6,47.33,8/6/2025,50,2.7,FALSE,,Chicago,800,3.8,6.199999999999999,174,79,104,35,coldsnap,new collection
FB000640,Bottoms,Banana Republic,Winter,XS,Pink,70.83,18,58.08,8/6/2025,21,2.9,FALSE,,Seattle,1150,3.8,7.25,156,61,105,34,cold,sustainability promo
FB000641,Dresses,Mango,Fall,L,Navy,53.17,0,53.17,8/6/2025,14,4.5,TRUE,Changed Mind,Dallas,1100,4.5,15.600000000000001,165,69,105,98,coldsnap,new collection
FB000642,Bottoms,Banana Republic,Summer,XS,Beige,119.56,46.2,64.32,8/6/2025,14,,FALSE,,Seattle,1150,3.8,7.25,152,47,100,47,heatwave,new collection
FB000643,Dresses,Mango,Winter,S,Blue,144.43,0,144.43,8/6/2025,41,3.6,FALSE,,Dallas,1100,4.5,7.800000000000001,160,58,99,89,cold,sustainability promo
FB000644,Outerwear,Mango,Spring,S,Purple,172.93,0,172.93,4/12/2025,43,4.7,TRUE,Quality Issue,LA,1200,7,21.2,160,54,69,115,rain,none
FB000645,Outerwear,Gap,Winter,XL,Beige,191.95,40.4,114.4,8/6/2025,21,2.9,FALSE,,Dallas,1100,7,10.3,181,86,71,112,cold,sustainability promo
FB000646,Dresses,H&M,Winter,M,Black,128.56,0,128.56,8/6/2025,45,2.4,FALSE,,Chicago,800,4.5,6.9,170,66,103,95,cold,none
FB000647,Dresses,H&M,Summer,L,White,123.08,53,57.85,8/6/2025,38,2.5,FALSE,,Dallas,1100,4.5,7.800000000000001,173,69,96,99,heatwave,none
FB000648,Outerwear,Ann Taylor,Spring,S,Purple,119.78,0,119.78,4/4/2025,22,1.5,TRUE,Color Mismatch,Seattle,1150,7,20.9,160,57,75,113,rain,none
FB000649,Bottoms,Banana Republic,Summer,XS,White,110.6,0,110.6,8/6/2025,19,,TRUE,Color Mismatch,Dallas,1100,3.8,14.2,160,58,109,39,heatwave,sustainability promo
FB000650,Tops,Zara,Spring,S,Purple,58.16,0,58.16,7/2/2025,29,4.1,FALSE,,Chicago,800,2.5,4.9,166,60,68,96,rain,none
FB000651,Outerwear,Mango,Fall,S,Green,208.82,0,208.82,8/6/2025,45,1.8,FALSE,,Seattle,1150,7,10.45,155,49,74,120,coldsnap,discount email
FB000652,Shoes,Ann Taylor,Winter,M,Black,192.74,0,192.74,8/6/2025,43,4.3,FALSE,,LA,1200,5.5,9.1,159,59,33,5,cold,sustainability promo
FB000653,Accessories,Gap,Fall,,Red,71.82,18.4,58.61,8/6/2025,50,1.9,FALSE,,Chicago,800,1.2,3.5999999999999996,161,71,29,8,coldsnap,discount email
FB000654,Shoes,Zara,Summer,XS,Red,145.4,0,145.4,8/6/2025,14,2,FALSE,,Dallas,1100,5.5,8.8,150,46,23,16,heatwave,none
FB000655,Bottoms,Mango,Summer,XXL,Brown,51.94,0,51.94,8/6/2025,9,3.2,FALSE,,NY,300,3.8,4.7,184,82,108,40,heatwave,new collection
FB000656,Accessories,Ann Taylor,Spring,,Black,77.48,0,77.48,10/7/2024,49,3.3,TRUE,Quality Issue,Chicago,800,1.2,7.199999999999999,173,72,38,5,rain,none
FB000657,Dresses,Mango,Summer,L,Black,59.66,45.2,32.69,8/6/2025,14,2.6,FALSE,,NY,300,4.5,5.4,175,70,100,95,heatwave,discount email
FB000658,Bottoms,Uniqlo,Summer,S,Red,102.07,0,102.07,8/6/2025,26,,TRUE,Color Mismatch,Seattle,1150,3.8,14.5,162,50,105,39,heatwave,discount email
FB000659,Accessories,Banana Republic,Spring,,Gray,48.57,0,48.57,12/6/2024,12,4.7,FALSE,,LA,1200,1.2,4.8,164,72,31,4,rain,sustainability promo
FB000660,Shoes,Gap,Summer,M,Navy,121.55,0,121.55,8/6/2025,16,,TRUE,Damaged,Chicago,800,5.5,15.8,165,64,30,6,heatwave,new collection
FB000661,Accessories,Ann Taylor,Winter,,Navy,59.22,44.8,32.69,8/6/2025,21,2,FALSE,,Chicago,800,1.2,3.5999999999999996,164,66,32,11,cold,sustainability promo
FB000662,Tops,Ann Taylor,Spring,XS,Beige,58.5,2.1,57.27,5/23/2025,24,3.9,FALSE,,NY,300,2.5,3.4,154,54,62,95,rain,discount email
FB000663,Accessories,Forever21,Fall,,Green,73.85,0,73.85,8/6/2025,46,2,FALSE,,Atlanta,900,1.2,3.9000000000000004,171,78,30,6,coldsnap,none
FB000664,Bottoms,H&M,Summer,XXL,Red,114.32,36.5,72.59,8/6/2025,41,4.1,FALSE,,Chicago,800,3.8,6.199999999999999,180,95,107,38,heatwave,new collection
FB000665,Bottoms,Forever21,Summer,XS,Gray,91.4,11,81.35,8/6/2025,18,1.6,FALSE,,Chicago,800,3.8,6.199999999999999,159,49,105,34,heatwave,none
FB000666,Accessories,Forever21,Winter,,Navy,69.77,0,69.77,8/6/2025,30,,TRUE,Color Mismatch,NY,300,1.2,4.2,165,73,31,14,cold,none
FB000667,Tops,H&M,Summer,L,Black,72.95,0,72.95,8/6/2025,27,4.8,FALSE,,Chicago,800,2.5,4.9,172,77,64,95,heatwave,new collection
FB000668,Bottoms,Ann Taylor,Summer,XL,Beige,63.99,42.2,36.99,8/6/2025,35,3.2,FALSE,,Dallas,1100,3.8,7.1,180,85,107,36,heatwave,sustainability promo
FB000669,Dresses,Banana Republic,Summer,XL,Blue,74.84,51.9,36,8/6/2025,35,2.5,FALSE,,Atlanta,900,4.5,7.2,173,75,101,94,heatwave,none
FB000670,Outerwear,H&M,Spring,XS,Black,158.84,0,158.84,4/16/2025,30,4.6,FALSE,,LA,1200,7,10.6,153,57,72,113,rain,discount email
FB000671,Shoes,Mango,Spring,M,Brown,96.36,58.6,39.89,2/10/2025,16,3.9,FALSE,,Seattle,1150,5.5,8.95,171,73,28,3,rain,none
FB000672,Bottoms,H&M,Spring,XS,Purple,51.06,13.9,43.96,8/16/2024,16,1.3,FALSE,,NY,300,3.8,4.7,149,49,100,43,rain,new collection
FB000673,Bottoms,Banana Republic,Summer,L,Navy,49.75,26.4,36.62,8/6/2025,24,3.8,FALSE,,Chicago,800,3.8,6.199999999999999,175,67,103,44,heatwave,new collection
FB000674,Dresses,Mango,Spring,XS,Pink,148.98,0,148.98,10/26/2024,11,2.2,TRUE,Wrong Item,LA,1200,4.5,16.2,159,45,100,87,rain,new collection
FB000675,Accessories,Gap,Winter,,Gray,72.24,0,72.24,8/6/2025,35,4.1,FALSE,,Chicago,800,1.2,3.5999999999999996,168,73,29,16,cold,sustainability promo
FB000676,Tops,Mango,Winter,XS,Blue,94.92,0,94.92,8/6/2025,5,3.3,FALSE,,Chicago,800,2.5,4.9,157,51,60,101,cold,none
FB000677,Outerwear,Banana Republic,Fall,XXL,Brown,91.08,0,91.08,8/6/2025,47,4.9,FALSE,,Chicago,800,7,9.4,175,93,75,109,coldsnap,sustainability promo
FB000678,Accessories,Banana Republic,Fall,,Brown,49.72,58.3,20.73,8/6/2025,4,1.6,FALSE,,Seattle,1150,1.2,4.65,173,64,38,14,coldsnap,sustainability promo
FB000679,Accessories,Gap,Winter,,Purple,23.09,7.1,21.45,8/6/2025,11,1.2,FALSE,,LA,1200,1.2,4.8,166,75,38,3,cold,new collection
FB000680,Accessories,Zara,Spring,,Red,49.95,0,49.95,9/17/2024,29,4.3,FALSE,,Chicago,800,1.2,3.5999999999999996,163,78,35,14,rain,new collection
FB000681,Accessories,Forever21,Winter,,Green,25.7,0,25.7,8/6/2025,38,3.2,TRUE,Quality Issue,Seattle,1150,1.2,9.3,162,63,33,13,cold,sustainability promo
FB000682,Shoes,Mango,Summer,XS,Green,175.22,0,175.22,8/6/2025,8,4.9,FALSE,,NY,300,5.5,6.4,154,51,26,3,heatwave,none
FB000683,Bottoms,Ann Taylor,Summer,XS,Gray,37.57,0,37.57,8/6/2025,18,1.9,FALSE,,Seattle,1150,3.8,7.25,155,52,104,33,heatwave,discount email
FB000684,Outerwear,Zara,Spring,M,Green,245.87,0,245.87,6/24/2025,27,2.6,FALSE,,LA,1200,7,10.6,165,73,68,118,rain,sustainability promo
FB000685,Bottoms,Banana Republic,Winter,XS,Red,116.92,0,116.92,8/6/2025,13,3.2,FALSE,,Atlanta,900,3.8,6.5,149,52,101,35,cold,none
FB000686,Dresses,Ann Taylor,Winter,L,Pink,103.11,0,103.11,8/6/2025,17,,FALSE,,Atlanta,900,4.5,7.2,176,74,104,85,cold,new collection
FB000687,Outerwear,Uniqlo,Fall,M,Purple,238.89,0.5,237.7,8/6/2025,28,2.7,FALSE,,Seattle,1150,7,10.45,171,63,68,117,coldsnap,new collection
FB000688,Shoes,Uniqlo,Summer,XS,Pink,86.81,12.6,75.87,8/6/2025,6,1.7,FALSE,,Chicago,800,5.5,7.9,152,50,31,11,heatwave,none
FB000689,Bottoms,Mango,Summer,XS,Blue,58.8,11.8,51.86,8/6/2025,8,,FALSE,,Seattle,1150,3.8,7.25,153,48,102,37,heatwave,discount email
FB000690,Bottoms,Ann Taylor,Spring,XL,Beige,41.65,52,19.99,5/16/2025,20,1.2,FALSE,,NY,300,3.8,4.7,180,70,101,42,rain,new collection
FB000691,Tops,H&M,Spring,XL,Black,61.67,46.4,33.06,7/15/2025,50,2.7,FALSE,,NY,300,2.5,3.4,176,85,60,97,rain,new collection
FB000692,Bottoms,H&M,Fall,XS,Black,40.39,0,40.39,8/6/2025,16,,FALSE,,Chicago,800,3.8,6.199999999999999,155,51,105,34,coldsnap,new collection
FB000693,Tops,Ann Taylor,Fall,XXL,Purple,95.13,45.4,51.94,8/6/2025,46,2.5,FALSE,,Dallas,1100,2.5,5.800000000000001,181,85,63,94,coldsnap,none
FB000694,Bottoms,Zara,Fall,S,Green,115.14,0,115.14,8/6/2025,43,2.5,FALSE,,Atlanta,900,3.8,6.5,159,64,103,34,coldsnap,sustainability promo
FB000695,Tops,H&M,Summer,,Beige,59.58,0,59.58,8/6/2025,27,3.3,FALSE,,Atlanta,900,2.5,5.2,170,68,64,96,heatwave,new collection
FB000696,Shoes,Uniqlo,Spring,M,Purple,169.89,0,169.89,7/14/2025,12,1.2,FALSE,,Seattle,1150,5.5,8.95,167,68,30,13,rain,sustainability promo
FB000697,Shoes,Mango,Winter,S,Black,117.38,22.5,90.97,8/6/2025,42,2.8,TRUE,Color Mismatch,LA,1200,5.5,18.2,154,52,31,6,cold,discount email
FB000698,Tops,Mango,Winter,S,Pink,118.95,0,118.95,8/6/2025,18,1.9,TRUE,Quality Issue,Atlanta,900,2.5,10.4,165,60,63,104,cold,new collection
FB000699,Accessories,Uniqlo,Fall,,Red,39.3,0,39.3,8/6/2025,39,,FALSE,,LA,1200,1.2,4.8,167,63,36,11,coldsnap,new collection
FB000700,Tops,H&M,Winter,L,Beige,74.3,0,74.3,8/6/2025,31,3.8,TRUE,Wrong Item,Atlanta,900,2.5,10.4,164,71,67,96,cold,discount email
FB000701,Bottoms,H&M,Spring,XS,Brown,62.97,0,62.97,5/26/2025,5,3.5,FALSE,,Atlanta,900,3.8,6.5,161,61,107,42,rain,new collection
FB000702,Accessories,H&M,Summer,,Gray,73.6,0,73.6,8/6/2025,1,1.8,FALSE,,Atlanta,900,1.2,3.9000000000000004,170,67,33,16,heatwave,sustainability promo
FB000703,Accessories,Mango,Spring,,Black,77.85,34.9,50.68,8/5/2025,11,,FALSE,,Seattle,1150,1.2,4.65,169,72,30,8,rain,none
FB000704,Tops,Forever21,Summer,,Red,94.31,0,94.31,8/6/2025,20,3,FALSE,,Atlanta,900,2.5,5.2,172,76,69,92,heatwave,sustainability promo
FB000705,Bottoms,Ann Taylor,Spring,,Navy,60.36,0,60.36,9/1/2024,35,3.3,FALSE,,Seattle,1150,3.8,7.25,164,76,107,47,rain,none
FB000706,Bottoms,Mango,Summer,XXL,Brown,94.85,0,94.85,8/6/2025,28,1.5,FALSE,,Chicago,800,3.8,6.199999999999999,177,98,110,39,heatwave,none
FB000707,Accessories,Uniqlo,Winter,,Blue,30.52,7.9,28.11,8/6/2025,43,4.7,FALSE,,NY,300,1.2,2.1,163,72,33,3,cold,sustainability promo
FB000708,Dresses,Mango,Summer,XS,Navy,97.06,0,97.06,8/6/2025,24,3.9,FALSE,,Seattle,1150,4.5,7.95,154,50,99,95,heatwave,sustainability promo
FB000709,Bottoms,Forever21,Summer,M,Purple,57.85,35.4,37.37,8/6/2025,17,,FALSE,,Chicago,800,3.8,6.199999999999999,165,71,109,44,heatwave,sustainability promo
FB000710,Tops,Zara,Fall,M,White,51.35,19.7,41.23,8/6/2025,39,1.3,FALSE,,Seattle,1150,2.5,5.95,161,61,64,93,coldsnap,sustainability promo
FB000711,Accessories,Ann Taylor,Spring,,Black,61.34,45.4,33.49,2/3/2025,46,,FALSE,,LA,1200,1.2,4.8,162,76,34,8,rain,discount email
FB000712,Outerwear,Banana Republic,Summer,L,Purple,189.28,0,189.28,8/6/2025,41,2.7,TRUE,Wrong Item,NY,300,7,15.8,170,68,74,117,heatwave,new collection
FB000713,Tops,Banana Republic,Summer,XXL,Purple,86.67,35.8,55.64,8/6/2025,2,4.9,FALSE,,LA,1200,2.5,6.1,182,94,62,96,heatwave,none
FB000714,Bottoms,Ann Taylor,Spring,S,Navy,102.84,0,102.84,9/10/2024,27,1.8,FALSE,,NY,300,3.8,4.7,160,50,108,43,rain,sustainability promo
FB000715,Outerwear,Zara,Fall,XXL,Green,225.21,0,225.21,8/6/2025,27,3.1,TRUE,Changed Mind,Chicago,800,7,18.8,181,84,71,110,coldsnap,sustainability promo
FB000716,Dresses,Uniqlo,Winter,XL,Gray,48.91,27.8,35.31,8/6/2025,0,4.1,FALSE,,Atlanta,900,4.5,7.2,176,86,98,98,cold,sustainability promo
FB000717,Outerwear,Forever21,Fall,L,Pink,145.93,0,145.93,8/6/2025,19,1.5,FALSE,,LA,1200,7,10.6,168,76,68,114,coldsnap,discount email
FB000718,Outerwear,Banana Republic,Winter,,Green,225.92,43.7,127.19,8/6/2025,30,3.2,FALSE,,Seattle,1150,7,10.45,166,72,76,116,cold,sustainability promo
FB000719,Outerwear,Uniqlo,Summer,XL,Green,202.18,39.7,121.91,8/6/2025,20,4.1,FALSE,,Seattle,1150,7,10.45,176,82,71,117,heatwave,sustainability promo
FB000720,Tops,Uniqlo,Fall,XL,Blue,51.85,0,51.85,8/6/2025,28,,FALSE,,LA,1200,2.5,6.1,180,77,65,96,coldsnap,sustainability promo
FB000721,Tops,Uniqlo,Summer,L,Gray,75.34,0,75.34,8/6/2025,21,,FALSE,,Seattle,1150,2.5,5.95,171,72,69,96,heatwave,new collection
FB000722,Shoes,Gap,Spring,S,Pink,92.09,54.9,41.53,1/19/2025,44,2.2,FALSE,,Atlanta,900,5.5,8.2,160,62,27,16,rain,discount email
FB000723,Accessories,Zara,Fall,,Blue,56.39,0,56.39,8/6/2025,49,4.2,FALSE,,Seattle,1150,1.2,4.65,161,63,36,14,coldsnap,sustainability promo
FB000724,Tops,Mango,Fall,L,Pink,108.75,0,108.75,8/6/2025,38,3.8,FALSE,,NY,300,2.5,3.4,171,68,70,95,coldsnap,none
FB000725,Dresses,Uniqlo,Spring,S,Red,156.85,0,156.85,4/1/2025,48,3.4,FALSE,,Atlanta,900,4.5,7.2,155,61,100,88,rain,none
FB000726,Outerwear,Uniqlo,Spring,XS,Brown,168.13,0,168.13,4/18/2025,42,2.5,FALSE,,NY,300,7,7.9,157,58,74,119,rain,none
FB000727,Shoes,Forever21,Summer,S,Green,145.79,57,62.69,8/6/2025,46,,FALSE,,NY,300,5.5,6.4,164,55,30,14,heatwave,discount email
FB000728,Bottoms,Gap,Winter,S,White,54.14,0,54.14,8/6/2025,32,,FALSE,,NY,300,3.8,4.7,154,51,103,40,cold,discount email
FB000729,Accessories,Zara,Fall,,Navy,45.64,0,45.64,8/6/2025,36,3.6,TRUE,Size Issue,Atlanta,900,1.2,7.800000000000001,162,73,31,5,coldsnap,none
FB000730,Bottoms,Mango,Fall,S,Red,46.76,0,46.76,8/6/2025,38,2.7,FALSE,,LA,1200,3.8,7.4,154,48,104,44,coldsnap,sustainability promo
FB000731,Dresses,Banana Republic,Winter,,Gray,75.23,0,75.23,8/6/2025,42,1.7,TRUE,Quality Issue,Seattle,1150,4.5,15.9,170,67,97,99,cold,discount email
FB000732,Dresses,Mango,Summer,XL,White,70.38,0,70.38,8/6/2025,37,2,FALSE,,Dallas,1100,4.5,7.800000000000001,172,79,97,85,heatwave,none
FB000733,Bottoms,H&M,Summer,M,Pink,76.04,0,76.04,8/6/2025,13,4.4,FALSE,,Dallas,1100,3.8,7.1,168,66,107,40,heatwave,none
FB000734,Shoes,Uniqlo,Summer,XS,Black,110.82,15.7,93.42,8/6/2025,43,,TRUE,Size Issue,NY,300,5.5,12.8,157,54,32,16,heatwave,sustainability promo
FB000735,Accessories,Forever21,Fall,,Navy,47.47,0,47.47,8/6/2025,42,4.7,FALSE,,NY,300,1.2,2.1,163,66,37,16,coldsnap,new collection
FB000736,Accessories,Gap,Spring,,Red,79.94,0,79.94,7/31/2025,26,3.8,FALSE,,Dallas,1100,1.2,4.5,163,72,35,5,rain,discount email
FB000737,Bottoms,Banana Republic,Fall,XXL,Navy,74.67,0,74.67,8/6/2025,15,4.6,FALSE,,LA,1200,3.8,7.4,179,97,101,34,coldsnap,sustainability promo
FB000738,Dresses,Forever21,Fall,XXL,Brown,63.79,35.5,41.14,8/6/2025,15,3.1,TRUE,Quality Issue,NY,300,4.5,10.8,182,83,100,93,coldsnap,none
FB000739,Bottoms,Ann Taylor,Fall,XXL,Brown,49.6,0,49.6,8/6/2025,32,4.7,FALSE,,Chicago,800,3.8,6.199999999999999,186,82,102,39,coldsnap,none
FB000740,Tops,Zara,Spring,XL,Red,57.91,0,57.91,3/13/2025,33,3.9,FALSE,,LA,1200,2.5,6.1,180,76,66,91,rain,sustainability promo
FB000741,Dresses,Uniqlo,Summer,XL,Pink,135.99,0,135.99,8/6/2025,34,3,FALSE,,Chicago,800,4.5,6.9,174,73,96,96,heatwave,discount email
FB000742,Dresses,Mango,Winter,S,Purple,53.49,21.8,41.83,8/6/2025,41,2.1,FALSE,,Seattle,1150,4.5,7.95,158,52,105,95,cold,new collection
FB000743,Tops,Forever21,Summer,S,Pink,113.29,34,74.77,8/6/2025,10,,FALSE,,Chicago,800,2.5,4.9,166,50,63,97,heatwave,new collection
FB000744,Tops,H&M,Winter,L,White,110.87,6,104.22,8/6/2025,15,,FALSE,,Chicago,800,2.5,4.9,170,65,61,104,cold,none
FB000745,Tops,Ann Taylor,Fall,,Navy,94.3,0,94.3,8/6/2025,16,,FALSE,,Atlanta,900,2.5,5.2,170,71,67,99,coldsnap,discount email
FB000746,Accessories,Forever21,Spring,,Red,37.94,0,37.94,10/8/2024,9,4.6,FALSE,,NY,300,1.2,2.1,163,62,29,7,rain,new collection
FB000747,Outerwear,Ann Taylor,Winter,XXL,Gray,200.24,23,154.18,8/6/2025,38,,FALSE,,Atlanta,900,7,9.7,183,92,73,110,cold,discount email
FB000748,Accessories,Forever21,Winter,,Purple,43.45,0,43.45,8/6/2025,50,4,FALSE,,Chicago,800,1.2,3.5999999999999996,168,71,32,7,cold,discount email
FB000749,Bottoms,Forever21,Summer,L,Red,76.92,9.6,69.54,8/6/2025,20,2,FALSE,,Atlanta,900,3.8,6.5,170,73,104,37,heatwave,none
FB000750,Accessories,Forever21,Fall,,White,21.09,0,21.09,8/6/2025,33,4.1,TRUE,Size Issue,NY,300,1.2,4.2,166,66,37,14,coldsnap,new collection
FB000751,Dresses,Banana Republic,Winter,XL,Green,55.47,0,55.47,8/6/2025,18,,FALSE,,NY,300,4.5,5.4,181,76,103,98,cold,sustainability promo
FB000752,Outerwear,H&M,Spring,XXL,White,122.53,0,122.53,9/21/2024,25,,FALSE,,Seattle,1150,7,10.45,180,98,68,108,rain,none
FB000753,Accessories,Uniqlo,Summer,,Beige,61.13,0,61.13,8/6/2025,34,2.6,FALSE,,Chicago,800,1.2,3.5999999999999996,173,64,35,9,heatwave,new collection
FB000754,Outerwear,Uniqlo,Spring,XS,Brown,127.59,0,127.59,5/8/2025,1,4.9,FALSE,,Chicago,800,7,9.4,150,59,73,120,rain,new collection
